Mon Dec 19 01:45:22 2016    ./stats/16-12-18_win

         22426 function calls (21868 primitive calls) in 4542.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 4528.839  215.659 4528.839  215.659 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:401(TimeoutExpired)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
  673/657    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       40    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:547(<dictcomp>)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       28    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       52    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:58(__iter__)
        4    0.000    0.000    0.294    0.073 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
       22    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:613(find_spec)
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       26    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:301(__setattr__)
        8    0.000    0.000    0.003    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:57(dump)
      286    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:71(__init__)
       77    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       55    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       60    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
