Sun Dec 18 16:32:28 2016    ./stats/stats_2_win

         1282713854 function calls (1282713516 primitive calls) in 1338.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8021    0.010    0.000    0.054    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:220(splitext)
    16042    0.010    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:806(release)
    26198    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    16043    0.009    0.000    0.009    0.000 {method 'acquire' of '_thread.RLock' objects}
     8021    0.009    0.000    0.232    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:819(format)
     8424    0.009    0.000    0.009    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:34(<listcomp>)
     8021    0.008    0.000    0.119    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:230(basename)
     8021    0.008    0.000    0.009    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1224(current_thread)
     8021    0.008    0.000    0.015    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:379(usesTime)
     8021    0.008    0.000    0.013    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:149(<lambda>)
     8021    0.008    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1501(getEffectiveLevel)
     8021    0.008    0.000    0.022    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:532(usesTime)
    16042    0.008    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:695(filter)
     2107    0.007    0.000    0.016    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:282(__init__)
      567    0.007    0.000    0.164    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:302(chunk_iCCP)
     2107    0.007    0.000    0.010    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:614(load_end)
     2106    0.007    0.000    0.390    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1840(debug)
     4781    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
     2107    0.007    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:345(chunk_IDAT)
     8021    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
     8391    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
     7304    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      343    0.006    0.000    0.006    0.000 {built-in method _codecs.charmap_decode}
    14743    0.006    0.000    0.006    0.000 {method 'copy' of 'dict' objects}
     8021    0.006    0.000    0.028    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:538(formatMessage)
     2107    0.006    0.000    0.006    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:54(_accept)
        1    0.006    0.006    0.062    0.062 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:54(get_tiles)
     2107    0.005    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:99(__init__)
     2107    0.005    0.000    0.006    0.000 {method 'sort' of 'list' objects}
       18    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:816(get_data)
     8424    0.005    0.000    0.019    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:136(isImageType)
     8023    0.005    0.000    0.005    0.000 {built-in method sys._getframe}
     2107    0.005    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:410(_getdecoder)
     8021    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1074(name)
    13135    0.005    0.000    0.005    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:53(<listcomp>)
       71    0.005    0.000    0.005    0.000 {built-in method nt.stat}
     8021    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:137(name)
    15993    0.004    0.000    0.004    0.000 {method 'getrandbits' of '_random.Random' objects}
     2107    0.004    0.000    0.004    0.000 {built-in method PIL._imaging.zip_decoder}
     4214    0.004    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_util.py:13(isPath)
     2107    0.004    0.000    0.085    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2005(new)
    13135    0.004    0.000    0.004    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:75(<listcomp>)
     2107    0.004    0.000    0.032    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:255(load_prepare)
     8021    0.004    0.000    0.006    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:35(_get_bothseps)
    10140    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     2107    0.004    0.000    0.004    0.000 {method 'setimage' of 'ImagingDecoder' objects}
     2107    0.004    0.000    0.036    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:580(load_prepare)
     6319    0.004    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_util.py:10(isStringType)
     5348    0.004    0.000    0.006    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:52(i16be)
     8021    0.004    0.000    0.004    0.000 {built-in method nt.getpid}
