Mon Dec 19 10:50:52 2016    ./stats/16-12-18_win

         22521 function calls (21963 primitive calls) in 668.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.107    0.018 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1022(join)
      224    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:520(Pipe)
        1    0.000    0.000    0.010    0.010 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tempfile.py:24(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\spawn.py:78(get_command_line)
        4    0.000    0.000    0.028    0.007 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:95(start)
        1    0.000    0.000    0.204    0.204 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:507(join)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\synchronize.py:11(<module>)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:487(formatTime)
        6    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1471(callHandlers)
        2    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
       32    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:250(choice)
        1    0.000    0.000    0.004    0.004 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:10(<module>)
        1    0.000    0.000    0.024    0.024 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\queues.py:10(<module>)
        2    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:532(_convert)
      148    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000  666.574  166.643 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:531(wait)
    78/49    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       27    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:34(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.002    0.002 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\selectors.py:5(<module>)
        6    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1392(_log)
        3    0.000    0.000    0.008    0.003 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:826(start)
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1224(current_thread)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:314(_create_)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:134(SOF)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:554(format)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:382(format)
        1    0.000    0.000    0.004    0.004 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:10(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:378(ImageFileDirectory_v2)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\subprocess.py:523(_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:968(emit)
        5    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\JpegImagePlugin.py:60(APP)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000000002CDA510}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\pool.py:525(_terminate_pool)
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\lzma.py:9(<module>)
        6    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\importlib\abc.py:18(_register)
       58    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\pickle.py:975(_Unpickler)
        3    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:964(_stop)
       19    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\collections\__init__.py:421(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
