2017-01-17 14:45:19,458 - DEBUG	 - 8040	 - Worker	 - mosaic: 19/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 49
2017-01-17 14:45:19,593 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:19,593 - DEBUG	 - 5400	 - Worker	 - mosaic: 19/540 Match found at J:\Mosaic\database\my-chemical-romance-19.png with a difference of 50
2017-01-17 14:45:19,613 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:19,613 - DEBUG	 - 572	 - Worker	 - mosaic: 19/513 Match found at J:\Mosaic\database\kraftwerk-18.png with a difference of 52
2017-01-17 14:45:19,830 - DEBUG	 - 6920	 - Worker	 - get_match: Found 7 matches for tile.
2017-01-17 14:45:19,830 - DEBUG	 - 6920	 - Worker	 - mosaic: 19/540 Match found at J:\Mosaic\database\nofx-7.png with a difference of 95
2017-01-17 14:45:19,971 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:19,972 - DEBUG	 - 8040	 - Worker	 - mosaic: 20/513 Match found at J:\Mosaic\database\survivor-2.png with a difference of 75
2017-01-17 14:45:20,107 - DEBUG	 - 5400	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:20,107 - DEBUG	 - 5400	 - Worker	 - mosaic: 20/540 Match found at J:\Mosaic\database\the-beatles-15.png with a difference of 41
2017-01-17 14:45:20,135 - DEBUG	 - 572	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:20,135 - DEBUG	 - 572	 - Worker	 - mosaic: 20/513 Match found at J:\Mosaic\database\coldplay-34.png with a difference of 43
2017-01-17 14:45:20,359 - DEBUG	 - 6920	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:20,359 - DEBUG	 - 6920	 - Worker	 - mosaic: 20/540 Match found at J:\Mosaic\database\depeche-mode-19.png with a difference of 89
2017-01-17 14:45:20,484 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:20,484 - DEBUG	 - 8040	 - Worker	 - mosaic: 21/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 47
2017-01-17 14:45:20,621 - DEBUG	 - 5400	 - Worker	 - get_match: Found 7 matches for tile.
2017-01-17 14:45:20,621 - DEBUG	 - 5400	 - Worker	 - mosaic: 21/540 Match found at J:\Mosaic\database\chic-8.png with a difference of 42
2017-01-17 14:45:20,651 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:20,652 - DEBUG	 - 572	 - Worker	 - mosaic: 21/513 Match found at J:\Mosaic\database\kraftwerk-18.png with a difference of 52
2017-01-17 14:45:20,888 - DEBUG	 - 6920	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:20,888 - DEBUG	 - 6920	 - Worker	 - mosaic: 21/540 Match found at J:\Mosaic\database\grateful-dead-14.png with a difference of 111
2017-01-17 14:45:20,996 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:20,997 - DEBUG	 - 8040	 - Worker	 - mosaic: 22/513 Match found at J:\Mosaic\database\arckanum-1.png with a difference of 85
2017-01-17 14:45:21,141 - DEBUG	 - 5400	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:21,141 - DEBUG	 - 5400	 - Worker	 - mosaic: 22/540 Match found at J:\Mosaic\database\david-bowie-53.png with a difference of 42
2017-01-17 14:45:21,169 - DEBUG	 - 572	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:21,170 - DEBUG	 - 572	 - Worker	 - mosaic: 22/513 Match found at J:\Mosaic\database\don-davis-2.png with a difference of 86
2017-01-17 14:45:21,417 - DEBUG	 - 6920	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:21,417 - DEBUG	 - 6920	 - Worker	 - mosaic: 22/540 Match found at J:\Mosaic\database\venetian-snares-6.png with a difference of 87
2017-01-17 14:45:21,509 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:21,509 - DEBUG	 - 8040	 - Worker	 - mosaic: 23/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 61
2017-01-17 14:45:21,655 - DEBUG	 - 5400	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:21,655 - DEBUG	 - 5400	 - Worker	 - mosaic: 23/540 Match found at J:\Mosaic\database\small-faces-7.png with a difference of 48
2017-01-17 14:45:21,687 - DEBUG	 - 572	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:21,687 - DEBUG	 - 572	 - Worker	 - mosaic: 23/513 Match found at J:\Mosaic\database\grateful-dead-14.png with a difference of 142
2017-01-17 14:45:21,945 - DEBUG	 - 6920	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:21,945 - DEBUG	 - 6920	 - Worker	 - mosaic: 23/540 Match found at J:\Mosaic\database\stereophonics-6.png with a difference of 61
2017-01-17 14:45:22,025 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:22,025 - DEBUG	 - 8040	 - Worker	 - mosaic: 24/513 Match found at J:\Mosaic\database\stereophonics-6.png with a difference of 59
2017-01-17 14:45:22,173 - DEBUG	 - 5400	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:22,173 - DEBUG	 - 5400	 - Worker	 - mosaic: 24/540 Match found at J:\Mosaic\database\manic-street-preachers-1.png with a difference of 53
2017-01-17 14:45:22,204 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:22,204 - DEBUG	 - 572	 - Worker	 - mosaic: 24/513 Match found at J:\Mosaic\database\venetian-snares-6.png with a difference of 104
2017-01-17 14:45:22,474 - DEBUG	 - 6920	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:22,475 - DEBUG	 - 6920	 - Worker	 - mosaic: 24/540 Match found at J:\Mosaic\database\venetian-snares-6.png with a difference of 57
2017-01-17 14:45:22,541 - DEBUG	 - 8040	 - Worker	 - get_match: Found 13 matches for tile.
2017-01-17 14:45:22,542 - DEBUG	 - 8040	 - Worker	 - mosaic: 25/513 Match found at J:\Mosaic\database\k.m.f.d.m.-22.png with a difference of 96
2017-01-17 14:45:22,690 - DEBUG	 - 5400	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:22,690 - DEBUG	 - 5400	 - Worker	 - mosaic: 25/540 Match found at J:\Mosaic\database\grateful-dead-2.png with a difference of 54
2017-01-17 14:45:22,723 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:22,723 - DEBUG	 - 572	 - Worker	 - mosaic: 25/513 Match found at J:\Mosaic\database\david-guetta-feat.-will.i.am-4.png with a difference of 94
2017-01-17 14:45:23,006 - DEBUG	 - 6920	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:23,006 - DEBUG	 - 6920	 - Worker	 - mosaic: 25/540 Match found at J:\Mosaic\database\stereophonics-6.png with a difference of 63
2017-01-17 14:45:23,059 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
